rownames,UP0042_CTRL,UR16_2319_HP160021451_A,UP0042HHT1,UP0042_HHE1.combined,UP0042_HHE3.combined
1:41500001-42000000,1.0040394905996872,1.0553377829764274,1.0067397909951608,1.0112178806381555,0.9959701516675273
1:42000001-42500000,1.0378465977962297,1.0738916742974278,1.0188501714584761,1.1294743536763137,1.0546320406611696
1:42500001-43000000,,,,,
1:43000001-43500000,,,,,
1:43500001-44000000,0.96958668595122,1.0271134631110617,1.0026661566114912,0.9270143504690785,0.973033914243977
1:44000001-44500000,1.0642545268269865,1.1254129134393946,1.130597193393182,1.0159302487416328,1.0344571126116786
1:44500001-45000000,0.9914203141888962,1.0767775576803067,1.0892691358827058,1.047976009748779,1.0449765725206202
1:45000001-45500000,1.0131271786610032,1.0820966676389414,1.0864057913551095,0.9708912758007547,0.9942953208963164
1:45500001-46000000,1.0244953530053538,1.0236514122902272,1.0736429001192391,0.973577381452826,1.0424176178885813
1:46000001-46500000,0.946093088050977,1.1032886464686555,1.0844687126555368,1.0327128595971686,1.0542824980670322
1:46500001-47000000,,,,,
1:47000001-47500000,1.0794296346104169,0.9115520743478284,0.8652043322719419,0.974628743601745,0.9988867292700151
1:47500001-48000000,0.9815693212251598,0.9213836592438819,0.9401203492931592,0.925842448307823,0.9474134112528929
1:48000001-48500000,1.0081697820784816,1.076235625787662,1.0236121824303177,0.887261067199995,0.9602658139741176
1:48500001-49000000,1.044451751214613,0.8722155146214255,0.7934452219974267,0.9247800287564951,0.9853997210844976
1:49000001-49500000,1.0066686924309147,1.0110646844068787,1.005581261297814,0.9501099788980588,1.0286896316807792
1:49500001-50000000,1.0009909919488704,1.0054489978790317,0.9182628482977517,0.9311969707494219,1.0003522888146794
1:50000001-50500000,0.9893186000593961,1.0283655100824978,1.039085909839729,0.9714672324595962,1.0347126849581798
1:50500001-51000000,1.0380654268893241,0.982777138251843,0.9426324952044237,0.9534839950089101,0.9723837291630811
1:51000001-51500000,1.0423420112845412,1.0770988185670318,1.136145247978515,1.1410221502333837,1.075420904229782
1:51500001-52000000,1.0718457094550917,1.0552093564177703,1.1167053866673915,1.1048249292951347,1.0274177569941354
1:52000001-52500000,1.0219017521692249,1.048064356309608,1.0931672668210648,1.0820583007906555,1.0621540422070987
1:52500001-53000000,1.0037940273351513,1.0483794996617863,1.126204697095657,0.998704827317876,1.0391564928103272
1:53000001-53500000,0.9998285240009096,1.0620739286848642,1.1115041049690226,1.0057130887888335,1.0548587284866295
1:53500001-54000000,0.9850849829644855,1.0409922675035133,1.06396546637862,0.9484950013771081,0.9792083868584464
1:54000001-54500000,0.9876392238362351,1.0583467102026802,1.0466467948416704,0.9192440632623243,0.9775749261740594
1:54500001-55000000,1.02326511012766,1.020217436122425,1.0594550272563974,0.9910750798772384,1.0096946585647408
1:55000001-55500000,1.0214312755882098,1.0214600126145277,0.9683052086774431,0.933933161884435,0.9952519506996113
1:55500001-56000000,1.0134867533821919,1.0000086610979675,0.9860402574533568,1.030936224563818,1.035273289519797
1:56000001-56500000,1.0588396886779563,1.0078442294080672,0.9220436358373431,0.953015631880341,1.0011576262858
1:56500001-57000000,0.99653126017964,1.0329126939397755,0.9718030039198289,1.0800636458811936,1.068953192966245
1:57000001-57500000,0.978361094606463,1.0027602184563937,1.0338744612201614,0.9531500432151063,0.9751465550007473
1:57500001-58000000,1.0077132487553675,1.046803692301132,0.9708439808246687,0.9355123302968511,1.0006223738169575
