rownames,UP0055_CTRL,UH16_300,UH18_22546,UP0055_HHE1.combined,UP0055_HHE2.combined
1:41500001-42000000,0.9991601396580934,0.9941157212011293,0.986123633968952,0.9914170304676603,0.976682410515449
1:42000001-42500000,0.977457995394859,0.9770878823056968,1.0086132761352735,1.0149503217170848,1.022089544035419
1:42500001-43000000,,,,,
1:43000001-43500000,,,,,
1:43500001-44000000,0.958903527829324,0.9524829581186738,0.9572757513866708,0.9796961407573561,0.9809340675844087
1:44000001-44500000,1.0427970513989262,1.0356207343764092,0.9763887903837032,0.9589704029746557,0.9872541888148424
1:44500001-45000000,0.9293161151085003,1.0780283794721406,0.9946014168961036,0.947661231039319,1.0016132092974788
1:45000001-45500000,0.9764471566201245,1.0794475735708569,0.9913216556250567,0.98047050032705,0.997718503593864
1:45500001-46000000,0.9686048672134339,1.1262333124539605,1.0512457532500017,1.0158587085112427,0.983748056851254
1:46000001-46500000,1.0381233003670722,1.059052173580713,1.03525793011794,0.9914508972590431,0.9834274676955153
1:46500001-47000000,,,,,
1:47000001-47500000,0.9989977229625181,0.8998135985406007,0.9026131313619311,1.0230238076288936,1.0293692020744354
1:47500001-48000000,0.9332313983538043,0.8754820114594601,0.920964558344599,0.895926903478913,0.9464993961562637
1:48000001-48500000,1.036748965575183,1.0491494195337179,0.9720232381979221,0.9542266894010527,0.9678693857525235
1:48500001-49000000,1.0148943122116436,0.9487236895950579,0.9677306536247704,0.9445196184884792,0.988333661211111
1:49000001-49500000,0.9761246753368499,0.9556751872585598,0.9344872443515647,0.9939468966486138,0.9777284235557588
1:49500001-50000000,1.0014414078249612,1.0104781482889393,0.9616863161810895,0.9886017138218705,0.9913233208013743
1:50000001-50500000,1.0304567579465038,1.1803713178380704,1.034845652530712,1.0003925110881802,1.055138265195058
1:50500001-51000000,1.0375173499419454,1.025561460778175,0.9470335778812178,0.962823093859932,0.9915657930492742
1:51000001-51500000,0.9764387825999143,1.1180627365996303,1.0690681731190175,1.082886723468824,1.0595364024543585
