rownames,UP0056_CTRL,UH18_12903,UP0056_HHE2.combined,UP0056_HHE1.combined
1:48500001-49000000,0.9426970703330168,0.9438023889580209,0.9590374495622859,0.9560999806224444
1:49000001-49500000,1.0035861095419145,1.0168471007663484,0.97805322292646,0.9844137936227078
1:49500001-50000000,0.9469202344455687,0.9317918135164007,0.9179595546891473,0.9505662053262522
1:50000001-50500000,0.9647735234337688,1.042067049878939,1.0085554483459833,1.0058744871990217
1:50500001-51000000,1.0295705960808825,1.0061957525426857,0.978636347328767,0.9664603063214894
1:51000001-51500000,1.0645326181106436,1.128095114776872,1.0990366200402606,1.0862588645171876
1:51500001-52000000,1.0073041987773579,1.0476857208662442,1.0500764409939802,1.0096082125283423
1:52000001-52500000,0.9796929842319323,1.0515186273901653,1.0565569037445184,1.0197198181206641
1:52500001-53000000,1.0042435500380167,1.045336142293358,1.00712671995581,1.0350604795435054
1:53000001-53500000,0.9895812807069035,1.0773339906946136,1.0372588794545892,1.0308033656621873
1:53500001-54000000,1.0500722229760664,0.975335021397341,1.003229478430353,0.9643214479633849
1:54000001-54500000,1.0684035970679557,1.0160500902586824,1.0093010249070995,1.0009221049240762
1:54500001-55000000,1.0041532868278769,1.0516227570678225,1.0363170178442602,1.0262793046754295
1:55000001-55500000,1.0090807069850607,0.9832322873305817,1.0207495342009278,1.0154601439595408
1:55500001-56000000,1.0494872704780986,1.0093363803374742,1.0787957527482113,1.0438109575557224
1:56000001-56500000,1.0533050597958298,1.025042654596308,1.0139848627663526,1.01733578622747
1:56500001-57000000,0.9048838427495418,1.013535057515209,1.0628465810065417,1.0537206583932475
1:57000001-57500000,0.9210589124732236,0.9457459906849721,0.9776767591771673,0.9975347826308788
1:57500001-58000000,1.0295920064249127,0.9888287894892462,0.993046282838907,0.9655717387460719
1:58000001-58500000,,,,
1:58500001-59000000,1.025451169135049,0.9385777020446153,0.9706436153676931,0.9773988346395278
1:59000001-59500000,1.0431581257548208,0.9922369243698169,1.0847269416547132,1.0537872038757239
1:59500001-60000000,0.9772286169795179,0.9738709323362066,1.0592699800609227,1.0685274766097304
1:60000001-60500000,0.9815651632633089,0.9791748755820012,1.052877881728621,1.0794654020295078
1:60500001-61000000,0.977689602797663,0.9947064018649597,1.0472092779669737,1.025204639338572
1:61000001-61500000,1.0189659490711183,0.9610075843412077,1.0615270466499507,1.0592830886276523
1:61500001-62000000,0.9492106895239721,1.0429951731596037,1.075622037461618,1.0695841004426532
1:62000001-62500000,0.9982941049972667,1.01908003986597,1.0640021020130712,1.0393285191652877
1:62500001-63000000,1.0666063989305332,1.0437273049845852,0.9801408229937086,0.9647644476645421
1:63000001-63500000,0.97148816496743,1.005342778548726,1.0068191095374,1.0186267746491602
1:63500001-64000000,0.9710920317050757,1.0314654053271648,1.005947073628279,0.994588082111865
1:64000001-64500000,1.093639320040299,1.0437977390735111,1.001964674401985,1.0599866929116508
1:64500001-65000000,0.9816475403645997,0.9605754011533519,1.02136084805811,0.9862585644163384
1:65000001-65500000,1.0116785094699825,1.005835550862814,1.0864918872581362,1.1002028219082822
1:65500001-66000000,,,,
1:66000001-66500000,0.9855856091655998,1.0101826287160438,1.0607243838602047,1.014006344305465
1:66500001-67000000,,,,
1:67000001-67500000,0.9581838409384854,1.0180879266680858,1.064067462588302,1.0486573746656904
1:67500001-68000000,1.005886604042391,1.0131516799763733,1.0126291190128798,0.9865281947358754
1:68000001-68500000,,,,
1:68500001-69000000,0.984802903082146,0.9821345569039496,0.9961137341972306,1.0016529201953492
1:69000001-69500000,0.9923315543271258,1.008114996150532,1.0439282378412618,1.0651476433003788
1:69500001-70000000,1.0310386034394865,1.0028507320498672,0.9674815722367959,1.0226957487910948
1:70000001-70500000,0.9527055276889034,0.9906722987832184,1.0631036666849776,1.0484821137857512
1:70500001-71000000,0.9742666242505497,0.9969753334374618,1.005987694573175,0.9826151558065587
1:71000001-71500000,1.043503153841943,1.0101780694458249,0.9792979936088716,1.0237270696400869
1:71500001-72000000,0.9759229075597756,0.9545465351009169,0.9547254773818405,0.9670617754892632
1:72000001-72500000,1.0546399245520157,0.9910093668448692,1.09190378813735,1.1106541332733169
1:72500001-73000000,0.8841342484251659,0.9198060612721085,0.9978660666073401,0.9454618842264797
1:73000001-73500000,0.971454080415127,0.940482308093426,1.0132174085840016,0.9599777067076718
1:73500001-74000000,1.0006707444877623,0.9952906214512948,0.9706864101809941,0.9935324830300925
1:74000001-74500000,1.0782694663173655,0.9960511679967233,0.9493412480067134,0.9574757519035971
1:74500001-75000000,0.9935928470944942,0.9814392075998034,0.9505593759665781,0.9347822615915119
1:75000001-75500000,0.9444114355662873,0.9555153428796611,0.9610344320861175,0.9456521001149478
1:75500001-76000000,0.9954674726037325,0.9959092074098655,0.969330289969035,0.9948237060932137
1:76000001-76500000,,,,
1:76500001-77000000,1.0503787373358566,1.007142021674974,1.0706695834951827,1.0927580519124664
1:77000001-77500000,1.0176325125606904,1.0216578237804281,0.958271485380361,0.9538493482431462
1:77500001-78000000,0.9963228289556004,1.0321906240543905,1.0292016558874264,0.9863827871549646
1:78000001-78500000,0.8911312451010264,1.0791161301865537,1.0308092530698456,1.0416557619520521
1:78500001-79000000,1.055062261216271,1.0216285963035079,1.0007488447623647,0.9776167106546698
1:79000001-79500000,1.0214134468131402,0.9772169547946417,1.0236971035692088,1.041847939207099
1:79500001-80000000,1.0236564922626556,1.003018203661127,1.0013596408195684,0.980795288723449
1:80000001-80500000,0.9951263511099239,0.9688777920516464,0.9496586735244787,0.937610533439761
1:80500001-81000000,1.0467344392958762,0.9936085527403234,0.9500208283034146,0.9460214176681092
1:81000001-81500000,0.943922993115913,0.9943456505313315,0.9984032406009314,0.975310683967586
1:81500001-82000000,0.9540766938499509,1.009750971990925,1.0305709554048732,1.0027118549207505
1:82000001-82500000,0.9804989188533556,1.0421646479965718,1.0067661554051193,0.9883825526504301
1:82500001-83000000,,,,
1:83000001-83500000,1.0027648835023395,1.0000441446763884,1.0574408705024143,1.0579202651720137
1:83500001-84000000,,,,
1:84000001-84500000,0.959205713705254,0.9912577501764116,1.0162041010011735,1.04897191476812
1:84500001-85000000,0.9453977791859193,1.0629270601144702,1.0825679125431635,1.109459053613367
1:85000001-85500000,1.009775323773816,1.0327287276709907,1.0296503592416757,1.044805569317055
1:85500001-86000000,0.9596031138028346,1.0788998453519139,1.0383816581580152,1.077464099182237
1:86000001-86500000,1.030814754091906,1.0213954542231098,1.0431743271074359,1.0002254054621011
